Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Hong Kong,Asia,F,Y,,Chan Sau Ying,1994,11.73,8.52514919
Hungary,Europe,M,,,Roland Nemeth,1999,10.08,9.920634921
Hungary,Europe,F,,,Eniko Szabo,2004,11.41,8.764241893
Iceland,Europe,M,,,Jon Arnar Magnusson,1997,10.56,9.46969697
Iceland,Europe,F,,,Sunna Gestsdottir,2004,11.63,8.598452279
India,Asia,M,,,Amiya Kumar Mallick,2016,10.26,9.746588694
India,Asia,F,,,Dutee Chand,2016,11.24,8.896797153
Indonesia,Asia,M,,,Yanis Raubaba,2000,10.13,9.871668312
Indonesia,Asia,F,,,Irene Truitje Joseph,1999,11.56,8.650519031
Iran,Asia,M,,,Hassan Taftian,2016,10.04,9.960159363
Iran,Asia,F,,,Maryam Tousi,2014,11.45,8.733624454
Iraq,Asia,M,,,Hassanine Hasan Zubaiyen,2011,10.65,9.389671362
Iraq,Asia,F,,,Dana Hussein,2011,11.88,8.417508418
Ireland,Europe,M,,,Paul Hession,2007,10.18,9.823182711
Ireland,Europe,F,Y,,Ailis McSweeney,2010,11.4,8.771929825
Israel,Asia,M,,,Aleksandr Porkhomovskiy,1999,10.12,9.881422925
Israel,Asia,F,,,Olga Lenskiy,2014,11.42,8.756567426
Italy,Europe,M,,,Pietro Mennea,1979,10.01,9.99000999
Italy,Europe,F,,,Manuela Levorato,2001,11.14,8.976660682
Ivory Coast,Africa,M,,,Ben Youssef Meite,2016,9.99,10.01001001
Ivory Coast,Africa,F,,,Murielle Ahoure,2016,10.78,9.276437848
Jamaica,North America,M,,Y,Usain Bolt,2009,9.58,10.43841336
Jamaica,North America,F,Y,,Shelly-Ann Fraser-Pryce,2012,10.7,9.345794393
Japan,Asia,M,,,Koji Ito,1998,10,10
Japan,Asia,F,,,Chisato Fukushima,2010,11.21,8.920606601
Jordan,Asia,M,,,Khalil Al-Hanahneh,2007,10.48,9.541984733
Jordan,Asia,F,,,Basma Al-Eshoush,2004,11.97,8.354218881
